Name,Coordinates,Cuisine,Latitude,Longitude,source
Shoo Long Kan,"40.76047, -73.83350",Sichuanese Hot pot,40.76047, -73.83350,Xiaohongshu
Chai,"40.76123, -73.98974",Beijingnese,40.76123, -73.98974,Xiaohongshu
Antidote,"40.71686, -73.96587",Sichuanese,40.71686, -73.96587,Xiaohongshu
Uluh,"40.72948, -73.98657",Sichuanese,40.72948, -73.98657,Xiaohongshu
Kong Sihk Tong,"40.71565, -73.99813",Cantonese,40.71565, -73.99813,Xiaohongshu
Bo Ky,"40.71591, -73.99867",Cantonese,40.71591, -73.99867,Xiaohongshu
Yin Ji Chang Fen,"40.71588, -73.99930",Cantonese,40.71588, -73.99930,Xiaohongshu
CheLi Manhattan,"40.72939, -73.98869",Zhejiangnese,40.72939, -73.98869,Xiaohongshu
Dun Huang,"40.81120, -73.95823",Northwestern Chinese,40.81120, -73.95823,Xiaohongshu
Taiwan Pork Chop House,"40.71441, -73.99803",Taiwanese,40.71441, -73.99803,Xiaohongshu
Haidilao Hot Pot,"40.76113, -73.82781",Sichuanese Hot pot,40.76113, -73.82781,Xiaohongshu
August Gatherings,"40.71926, -74.00112",Cantonese,40.71926, -74.00112,Xiaohongshu
Le Sia,"40.76091, -73.99127",Chinese,40.76091, -73.99127,Xiaohongshu
Peppercorn Station,"40.75327, -73.98503",Sichuanese,40.75327, -73.98503,Xiaohongshu
Chef Tan,"40.72969, -73.98790",Sichuanese Hunanese,40.72969, -73.98790,Xiaohongshu
Alley 41,"40.75929, -73.82798",Sichuanese,40.75929, -73.82798,Xiaohongshu
Nurlan Uyghur Restaurant,"40.75169, -73.82586",Uyghur,40.75169, -73.82586,Xiaohongshu
Ju Shui Yuan,"40.75946, -73.82674",Northeastern Chinese,40.75946, -73.82674,Xiaohongshu
900 Du Chuan Gong Restaurant,"40.75217, -73.82675",Northeastern Chinese,40.75217, -73.82675,Xiaohongshu
Red House Restaurant,"40.76127, -73.83304",Shanghainese,40.76127, -73.83304,Xiaohongshu
Deng Ji Yunnan Guoqiao Mixian,"40.75887, -73.83155",Yunnanese,40.75887, -73.83155,Xiaohongshu
Xi Top BBQ,"40.76266, -73.81513",Northeastern Chinese,40.76266, -73.81513,Xiaohongshu
Followsoshi,"40.75863, -73.83067",Northern Chinese,40.75863, -73.83067,Xiaohongshu
OK Ryan,"40.75618, -73.83381",Taiwanese,40.75618, -73.83381,Xiaohongshu
Chongqing Lao Zao,"40.76123, -73.83294",Sichuanese Hot pot,40.76123, -73.83294,Xiaohongshu
Nom Wah Tea Parlor,"40.71467, -73.99822",Cantonese,40.71467, -73.99822,TimeOut Magazine
Grand Sichuan,"40.74749, -74.00096",Sichuanese,40.74749, -74.00096,TimeOut Magazine
DAXI Sichuan Cuisine,"40.75950, -73.82906",Sichuanese,40.75950, -73.82906,TimeOut Magazine
Mala Project,"40.72836, -73.98555",Sichuanese,40.72836, -73.98555,TimeOut Magazine
RedFarm,"40.73881, -74.00606",Chinese fusion,40.73881, -74.00606,TimeOut Magazine
Great NY Noodletown,"40.71517, -73.99711",Cantonese,40.71517, -73.99711,TimeOut Magazine
Xi'an Famous Foods,"40.71584, -73.99716",Northwestern Chinese,40.71584, -73.99716,TimeOut Magazine
456 New Shanghai,"40.71636, -73.99828",Shanghainese,40.71636, -73.99828,TimeOut Magazine
Lan Sheng,"40.75168, -73.98833",Sichuanese,40.75168, -73.98833,TimeOut Magazine
Pacific Palace,"40.63831, -74.00615",Cantonese,40.63831, -74.00615,TimeOut Magazine
Yun Nan Flavour Garden,"40.64021, -74.00460",Yunnanese,40.64021, -74.00460,TimeOut Magazine
Han Dynasty Brooklyn,"40.69603, -73.98229",Sichuanese,40.69603, -73.98229,TimeOut Magazine
Spicy Village,"40.71718, -73.99346",Henanese,40.71718, -73.99346,TimeOut Magazine
Peking Duck House,"40.72620, -74.00034",Beijingnese,40.72620, -74.00034,TimeOut Magazine
Wo Hop,"40.71440, -73.99892",American Chinese,40.71440, -73.99892,TimeOut Magazine
Little Pepper,"40.78302, -73.84598",Sichuanese,40.78302, -73.84598,TimeOut Magazine
Hunan Slurp,"40.72688, -73.98566",Hunanese,40.72688, -73.98566,TimeOut Magazine
New World Mall,"40.75950, -73.82920",Chinese,40.75950, -73.82920,TimeOut Magazine
Tasty Hand-Pulled Noodles,"40.71426, -73.99787",Northern Chinese,40.71426, -73.99787,TimeOut Magazine
99 Favor Taste,"40.73228, -73.99310",Sichuanese,40.73228, -73.99310,TimeOut Magazine
Birds of a Feather,"40.71451, -73.96056",Sichuanese,40.71451, -73.96056,TimeOut Magazine
Spicy Moon,"40.73007, -73.99844",Vegan Sichuanese,40.73007, -73.99844,TimeOut Magazine
Nan Xiang Xiao Long Bao,"40.75974, -73.83245",Shanghainese,40.75974, -73.83245,TimeOut Magazine
Atlas Kitchen,"40.80351, -73.96678",Sichuanese Hunanese,40.80351, -73.96678,TimeOut Magazine
Fried Dumpling,"40.71469, -73.99925",Chinese,40.71469, -73.99925,TimeOut Magazine
Hutong New York,"40.76190, -73.96758",Northern Chinese,40.76190, -73.96758,Recommended by Both
Szechuan Mountain House,"40.73937, -73.98798",Sichuanese,40.73937, -73.98798,Recommended by Both
Hao Noodle,"40.73382, -74.00001",Sichuanese,40.73382, -74.00001,Recommended by Both
Congee Village,"40.71883, -73.99035",Cantonese,40.71883, -73.99035,Recommended by Both
